Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
CLOUD_ONLY,ROUND_ROBIN,100,2278.4117,0.3485,2198.4704,0.3363,7000,5903,0,1097,0,0,0,7000,5903,0,0,0,0,27145.240000000238,15626.912000000093,27145.240000000238,30636.24999999527,0.0,0.0,9.801004960984407,0.3464,21.4773,0,0,82.1966,0.8058,1.8123,1.8123,0,0,80.3843,0.8038,0,33.1832,97.0838,-1.0,[96.2016- 99.86785185185185- 73.57037037037023- 96.2014814814815- 99.86785185185185- 99.86844444444444- 99.86797037037037- 96.2016- 73.57037037037021- 73.57037037037023- 96.2014814814815- 96.20242962962965- 99.86797037037037- 99.86797037037037- 99.86814814814814- 99.86826666666667- 99.86856296296297- 96.2014814814815- 99.86862222222221- 96.2016- 99.86868148148147- 96.2014814814815- 99.86814814814814- 99.86868148148147- 96.2016- 73.57037037037023- 96.2014814814815- 99.86802962962963- 99.86820740740741- 99.86897777777779- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
CLOUD_ONLY,ROUND_ROBIN,200,4522.23,0.3473,9155.2102,0.7031,14000,11355,0,2645,0,0,0,14000,11355,0,0,0,0,110117.13600000257,62596.66666666827,110117.13600000257,61255.90000001487,0.0,0.0,4.832235168675351,0.3521,42.9545,0,0,164.3895,0.8138,3.6246,3.6246,0,0,160.7649,0.8038,0,32.9492,95.836,-1.0,[99.86814814814814- 73.57037037037023- 99.8679111111111- 73.57037037037023- 99.86820740740741- 99.86802962962963- 99.86832592592593- 99.86850370370371- 99.86797037037037- 73.57037037037021- 99.8679111111111- 73.57037037037023- 99.86808888888889- 99.86808888888889- 99.86797037037037- 99.86802962962963- 96.20242962962962- 73.57037037037023- 96.20254814814817- 73.57037037037023- 99.86797037037037- 96.20266666666666- 99.8679111111111- 96.20337777777779- 99.86808888888889- 73.57037037037021- 99.86814814814814- 96.20207407407408- 96.20302222222223- 96.20314074074075- 99.86802962962963- 99.86808888888889- 99.86808888888889- 73.57037037037021- 73.57037037037023- 99.86808888888889- 99.86814814814814- 99.86802962962963- 73.57037037037021- 73.57037037037023- 99.86826666666667- 99.86820740740741- 99.8679111111111- 99.86814814814814- 99.86820740740741- 96.20290370370371- 99.86826666666667- 73.57037037037023- 99.8679111111111- 96.20254814814817- 96.20242962962962- 73.57037037037023- 99.86820740740741- 73.57037037037023- 99.86832592592593- 99.86826666666667- 96.20219259259261- 99.86797037037037- 99.86832592592593- 99.86832592592593- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
CLOUD_ONLY,ROUND_ROBIN,300,6756.2331,0.3576,22382.4382,1.1848,21000,15615,0,5385,0,0,0,21000,15615,0,0,0,0,244986.89866667055,139363.77866666266,244986.89866667055,91855.40000004336,0.0,0.0,3.258652470568946,0.354,64.4318,0,0,246.5779,0.8165,5.4369,5.4369,0,0,241.141,0.8038,0,32.9707,95.9503,-1.0,[99.86832592592593- 73.57037037037023- 99.86814814814814- 96.20266666666666- 99.86838518518518- 96.20254814814817- 99.86826666666667- 96.20171851851853- 99.86850370370371- 99.86844444444444- 73.57037037037023- 96.20254814814817- 99.86820740740741- 96.20242962962962- 99.86826666666667- 96.20266666666666- 96.20219259259261- 99.86826666666667- 99.86826666666667- 99.86850370370371- 99.86850370370371- 99.86802962962963- 99.86820740740741- 99.86838518518518- 99.86832592592593- 96.2027851851852- 99.86826666666667- 73.57037037037023- 73.57037037037023- 99.86850370370371- 96.20254814814817- 73.57037037037023- 99.86826666666667- 73.57037037037021- 73.57037037037021- 73.57037037037023- 99.86856296296297- 99.86814814814814- 99.86862222222221- 99.86844444444444- 99.86826666666667- 96.20242962962962- 99.86850370370371- 99.86832592592593- 96.20266666666666- 99.8688- 99.86868148148147- 73.57037037037021- 99.86820740740741- 73.57037037037021- 99.8688- 96.20242962962962- 99.86885925925927- 96.20337777777779- 96.20207407407408- 96.20314074074075- 99.86856296296297- 99.86838518518518- 99.86868148148147- 96.20266666666666- 99.8688- 99.8688- 99.86874074074075- 99.86868148148147- 73.57037037037021- 99.86856296296297- 96.20195555555557- 96.20242962962962- 99.86885925925927- 99.8688- 99.86862222222221- 99.86844444444444- 99.86850370370371- 99.86832592592593- 73.57037037037023- 73.57037037037021- 99.86874074074075- 73.57037037037023- 73.57037037037023- 99.86885925925927- 99.86885925925927- 73.57037037037023- 99.86903703703705- 96.20361481481483- 73.57037037037023- 73.57037037037021- 99.86850370370371- 73.57037037037023- 99.86891851851851- 73.57037037037021- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
CLOUD_ONLY,ROUND_ROBIN,400,7466.8448,0.659,51380.1574,4.5345,28000,9474,0,18526,0,0,0,28000,9474,0,0,0,0,312208.3986666663,180882.0986666638,312208.3986666663,121614.7500000414,0.0,0.0,3.3831856915877156,0.3497,84.6269,0,0,328.5796,0.8174,7.2493,7.2493,0,0,321.3304,0.8033,0,33.112,96.7038,-1.0,[99.87176296296296- 99.87146666666666- 99.87194074074074- 73.57037037037023- 73.57037037037021- 99.87093333333333- 96.20847407407409- 96.20894814814814- 99.87122962962962- 99.87117037037036- 99.87140740740742- 99.87253333333332- 99.87223703703704- 96.20894814814814- 99.87182222222224- 99.87146666666666- 96.21108148148149- 99.87247407407408- 99.87217777777778- 96.20977777777779- 96.20977777777777- 99.87306666666666- 96.20847407407409- 96.20977777777779- 99.87217777777778- 99.87223703703704- 99.8717037037037- 96.20918518518519- 99.87229629629628- 96.20930370370371- 96.20942222222223- 99.87211851851852- 99.87265185185186- 73.57037037037021- 99.8717037037037- 73.57037037037021- 99.87253333333332- 99.87217777777778- 99.87241481481482- 73.57037037037023- 99.87223703703704- 99.87223703703704- 96.20930370370371- 96.21048888888888- 73.57037037037021- 96.20906666666667- 73.57037037037021- 96.2098962962963- 73.57037037037021- 99.872- 99.87217777777778- 99.87247407407408- 99.87223703703704- 99.87176296296296- 73.57037037037021- 73.57037037037023- 99.8725925925926- 73.57037037037023- 99.87152592592591- 99.87277037037038- 73.57037037037021- 99.87247407407408- 99.8725925925926- 99.87205925925925- 73.57037037037021- 99.87223703703704- 99.87188148148148- 99.87247407407408- 99.87294814814814- 99.87241481481482- 96.21084444444445- 99.87217777777778- 99.87217777777778- 99.87235555555556- 99.8717037037037- 99.87247407407408- 96.20717037037038- 99.87282962962962- 99.87277037037038- 99.87194074074074- 73.57037037037021- 99.8725925925926- 99.87294814814814- 99.87282962962962- 96.20930370370371- 99.8727111111111- 99.87223703703704- 99.87235555555556- 96.2087111111111- 99.87294814814814- 96.20954074074075- 99.87253333333332- 99.87223703703704- 99.87306666666666- 99.87306666666666- 96.21025185185185- 73.57037037037021- 99.87282962962962- 73.57037037037021- 96.20954074074075- 99.87277037037038- 99.87265185185186- 99.87294814814814- 99.87217777777778- 99.87217777777778- 99.8725925925926- 99.87211851851852- 99.872- 96.20942222222223- 73.57037037037021- 73.57037037037021- 73.57037037037023- 96.21060740740742- 73.57037037037021- 99.87217777777778- 99.87158518518518- 73.57037037037021- 99.87253333333332- 96.21108148148149- 99.87300740740741- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
EDGE_ONLY,ROUND_ROBIN,100,2853.9804,0.4347,297.9634,0.0454,7000,5984,0,1016,0,0,0,0,0,7000,5984,0,0,26775.870666666575,0.0,26775.870666666575,30638.14999999527,0.0,0.0,9.763378582745329,1.6129,0,100,0,82.1973,0.8059,0,0,1.8126,1.8126,80.3847,0.8038,0,32.9286,95.7259,-1.0,[99.86868148148147- 73.57037037037023- 99.86808888888889- 99.86808888888889- 96.2016- 96.2014814814815- 73.57037037037023- 96.2016- 73.57037037037021- 99.86820740740741- 99.86820740740741- 96.2014814814815- 96.2014814814815- 99.8679111111111- 99.86814814814814- 99.86820740740741- 99.86820740740741- 99.86808888888889- 73.57037037037023- 96.2014814814815- 96.2014814814815- 73.57037037037023- 99.86832592592593- 99.86826666666667- 73.57037037037023- 99.86820740740741- 99.86826666666667- 73.57037037037021- 99.86856296296297- 99.86927407407408- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
EDGE_ONLY,ROUND_ROBIN,200,5655.783,0.4287,4198.0031,0.3182,14000,11806,0,2194,0,0,0,0,0,14000,11806,0,0,110072.79466666961,0.0,110072.79466666961,61265.20000001511,0.0,0.0,4.803350016630698,0.8197,0,100,0,164.3921,0.8138,0,0,3.6251,3.6251,160.7669,0.8038,0,33.0685,96.4719,-1.0,[99.86814814814814- 73.57037037037023- 99.86832592592593- 99.86797037037037- 73.57037037037023- 96.20361481481483- 96.20219259259261- 99.86785185185185- 99.86802962962963- 99.86808888888889- 73.57037037037023- 99.86802962962963- 99.8679111111111- 99.86802962962963- 96.20183703703704- 96.20337777777779- 96.20195555555557- 99.86802962962963- 99.8679111111111- 99.8679111111111- 99.86797037037037- 73.57037037037021- 99.86826666666667- 99.86808888888889- 99.86797037037037- 99.86826666666667- 99.86785185185185- 73.57037037037023- 99.86826666666667- 99.86826666666667- 99.86808888888889- 99.86820740740741- 96.20254814814817- 73.57037037037023- 73.57037037037021- 99.86802962962963- 96.20183703703704- 99.86802962962963- 99.86814814814814- 73.57037037037023- 99.86802962962963- 99.86802962962963- 99.86838518518518- 99.86844444444444- 99.86814814814814- 99.86826666666667- 73.57037037037023- 96.20266666666666- 99.86814814814814- 99.86850370370371- 99.86802962962963- 73.57037037037023- 99.86797037037037- 99.86832592592593- 99.86814814814814- 73.57037037037023- 99.86838518518518- 99.86814814814814- 73.57037037037023- 99.86785185185185- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
EDGE_ONLY,ROUND_ROBIN,300,8477.2258,0.4324,22663.8626,1.1561,21000,16267,0,4733,0,0,0,0,0,21000,16267,0,0,249069.48800000493,0.0,249069.48800000493,91893.70000004437,0.0,0.0,3.203737721276826,0.5495,0,100,0,246.5872,0.8165,0,0,5.4377,5.4377,241.1495,0.8038,0,33.0127,96.1745,-1.0,[73.57037037037023- 99.86838518518518- 99.86832592592593- 99.86838518518518- 99.86826666666667- 99.86826666666667- 99.86850370370371- 99.86844444444444- 99.86814814814814- 96.20219259259261- 99.86820740740741- 96.20242962962962- 73.57037037037023- 99.86797037037037- 99.86862222222221- 99.86820740740741- 99.86844444444444- 73.57037037037023- 99.86808888888889- 96.20195555555557- 99.86802962962963- 73.57037037037023- 99.86820740740741- 96.20231111111111- 96.20242962962962- 99.86838518518518- 99.86862222222221- 73.57037037037021- 96.20254814814817- 99.86838518518518- 99.86808888888889- 96.20219259259261- 99.86820740740741- 99.86856296296297- 99.86844444444444- 99.86838518518518- 99.86820740740741- 96.2027851851852- 99.86814814814814- 73.57037037037023- 99.86826666666667- 99.86826666666667- 96.20254814814817- 73.57037037037023- 73.57037037037023- 96.2027851851852- 96.20195555555557- 99.86832592592593- 99.86844444444444- 73.57037037037021- 99.86844444444444- 99.86850370370371- 99.86844444444444- 99.8688- 73.57037037037023- 99.86820740740741- 73.57037037037023- 99.86808888888889- 73.57037037037021- 73.57037037037023- 96.20231111111111- 73.57037037037021- 73.57037037037023- 99.86856296296297- 96.20254814814817- 73.57037037037021- 99.86838518518518- 73.57037037037021- 99.86808888888889- 96.20231111111111- 99.86826666666667- 99.86826666666667- 96.20207407407408- 99.86820740740741- 96.2027851851852- 73.57037037037021- 99.86856296296297- 96.20183703703704- 73.57037037037023- 99.86826666666667- 99.86850370370371- 99.86838518518518- 99.8688- 99.86814814814814- 99.86820740740741- 99.86850370370371- 99.86844444444444- 99.86874074074075- 99.86826666666667- 99.86826666666667- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
EDGE_ONLY,ROUND_ROBIN,400,8540.2094,1.3828,384362.8666,62.2349,28000,6036,0,21964,0,0,0,0,0,28000,6036,0,0,243318.10933332713,0.0,243318.10933332713,121279.40000003207,0.0,0.0,4.782103064868312,0.4132,0,100,0,328.5061,0.8172,0,0,7.2503,7.2503,321.2559,0.8031,0,33.0909,96.5915,-1.0,[99.87371851851852- 96.21285925925925- 99.8736- 99.8736- 99.87365925925927- 99.8736- 73.57037037037021- 99.87365925925927- 99.87354074074074- 73.57037037037021- 99.87371851851852- 99.87377777777778- 99.87354074074074- 99.8736- 99.87365925925927- 99.87365925925927- 99.8736- 96.21285925925928- 73.57037037037021- 96.21285925925928- 96.21285925925925- 99.8736- 99.8736- 96.21309629629629- 73.57037037037021- 96.21262222222224- 73.57037037037021- 99.87371851851852- 73.57037037037021- 96.2125037037037- 99.8736- 96.21321481481482- 99.87371851851852- 73.57037037037021- 99.87371851851852- 99.87365925925927- 99.87365925925927- 99.87365925925927- 99.8736- 99.87365925925927- 99.87371851851852- 73.57037037037021- 96.21309629629629- 96.21285925925925- 99.8736- 99.87365925925927- 99.8736- 99.87348148148148- 73.57037037037021- 99.87365925925927- 99.8736- 99.87365925925927- 96.21285925925925- 96.21297777777778- 99.87371851851852- 99.87371851851852- 99.87354074074074- 99.87365925925927- 96.21274074074074- 99.87371851851852- 96.21309629629629- 99.87365925925927- 99.87371851851852- 96.21285925925925- 99.87365925925927- 96.21297777777778- 99.87354074074074- 99.87365925925927- 99.8736- 73.57037037037021- 99.87354074074074- 99.87371851851852- 96.2125037037037- 73.57037037037021- 99.8736- 99.8736- 99.87365925925927- 73.57037037037021- 99.87365925925927- 73.57037037037021- 99.87348148148148- 99.87371851851852- 99.87371851851852- 99.87371851851852- 99.87365925925927- 73.5703703703702- 99.8736- 99.87365925925927- 96.21202962962963- 73.57037037037021- 99.8736- 99.8736- 99.87365925925927- 96.21274074074074- 99.8736- 73.57037037037021- 99.87354074074074- 99.87365925925927- 99.8736- 99.87371851851852- 99.8736- 99.87371851851852- 99.87365925925927- 73.57037037037021- 99.87371851851852- 73.57037037037021- 99.87371851851852- 99.87365925925927- 99.87365925925927- 96.21285925925928- 99.87371851851852- 96.21285925925925- 96.21309629629629- 73.57037037037021- 73.57037037037021- 73.57037037037021- 96.21321481481482- 99.87365925925927- 73.57037037037021- 96.21309629629629- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
MIST_ONLY,ROUND_ROBIN,100,17112.2206,2.8862,8817.2328,1.4871,7000,4756,1014,1127,0,103,0,0,0,0,0,6493,5263,720.0280000000178,0.0,720.0280000000178,23378.449999997123,0.0,0.0,282.970498474059,27.4771,0,0,28.393,7.8828,0.0773,0,0,0,0,7.8828,0.0788,0,33.6527,99.693,-1.0,[99.57830121481481- 99.85116474074076- 99.71806909629629- 98.92679745185184- 99.95172912592592- 99.81765001481482- 99.89889765925926- 99.94733131851852- 99.62826648888888- 99.9612909037037- 99.95726880000001- 99.48892474074074- 99.4138717037037- 99.69053795555556- 99.05825001481483- 98.35149108148147- 99.64112912592591- 99.38734708148147- 99.83796722962964- 99.93907656296297- 99.5892368- 99.9651640888889- 99.79741902222223- 98.50633114074073- 99.54794814814815- 99.94722939259259- 99.7568370962963- 99.89304320000001- 99.63227591111111- 98.59919117037037- 99.53335400266006- 99.99756506344585- 99.52633317157338- 99.97584834106186- 99.82453763614795- 99.90493098242209- 99.95724459901506- 99.96006573744563- 99.42801098170315- 99.96606343685971- 99.96464960997879- 99.95435336460693- 99.77652054351341- 99.97584834106186- 99.91164267227435- 99.89674974837341- 99.87126649052806- 99.99130540278227- 99.99708697293217- 99.95738928430211],[]
MIST_ONLY,ROUND_ROBIN,200,31406.1764,2.5309,7.6301,0.0006,14000,10769,504,2364,0,363,0,0,0,0,0,13748,11021,1749.9426666669458,0.0,1749.9426666669458,52061.85000000832,0.0,0.0,276.33625743692187,39.919,0,0,40.5843,16.8767,0.0835,0,0,0,0,16.8767,0.0844,0,33.6335,99.6091,-1.0,[99.82595964444445- 99.75037914074073- 99.11246974814814- 99.41271377777778- 97.68074512592591- 98.54848521481482- 98.5998066962963- 99.68376177777778- 99.79242364444444- 99.79764515555554- 99.45221120000001- 99.77900663703703- 99.93522494814816- 99.28958399999999- 99.66860918518518- 99.71676379259259- 99.81455816296295- 99.84340651851852- 99.2491536- 99.88668580740742- 98.49032231111111- 99.7078944- 99.53874554074075- 99.8670973037037- 99.89239757037036- 99.60899063703704- 99.78448331851851- 99.80527905185185- 99.01142933333334- 99.31721439999998- 99.65118358518518- 99.67053439999998- 98.44629125925927- 99.16259377777777- 99.46187917037037- 98.26340562962963- 99.68741001481482- 99.67550382222221- 99.5734736- 99.3849586962963- 99.72247016296296- 99.87974465185185- 99.59362346666666- 99.4624208- 98.31359638518518- 99.59127431111112- 99.93798305185186- 99.0714224- 98.38821605925926- 99.67962577777777- 99.71875994074075- 99.85826992592592- 99.70610388148147- 99.88145801481481- 99.93025321481481- 98.15624112592593- 99.77698891851853- 99.91159211851851- 99.86465677037036- 99.80759531851854- 99.95669439052446- 99.91846377475825- 99.85969953089614- 99.91090666450987- 99.76690773392285- 99.9693175078184- 99.88227807433768- 99.94032990042777- 99.61926987850032- 99.85947037096948- 99.95880693051512- 99.89148625939106- 99.79594971062942- 99.98018575434055- 99.97250597613142- 99.93135918796506- 99.8917084546533- 99.8643606887379- 99.27718735396671- 99.85781682483194- 99.9634067543765- 99.72664882813905- 99.91462534598656- 99.97536036521802- 99.54683489701283- 99.79072980696647- 99.70993138682195- 99.90162164348108- 99.98647507099464- 99.98717985010245- 99.88727421007226- 99.97318918724612- 99.7936340720371- 99.94260734569899- 99.51172782091378- 99.9024160645602- 99.8030815270139- 99.78063329019736- 99.63924139077608- 99.97391620834681],[]
