Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
MIST_ONLY,ROUND_ROBIN,100,14186.663,2.6355,0,0,7000,3862,2044,952,0,142,0,0,0,0,0,5978,4884,565.381333333297,0.0,565.381333333297,17212.649999998743,0.0,0.0,280.27039681610677,33.2838,0,0,34.3933,6.001,0.0588,0,0,0,0,6.001,0.06,0,33.6457,99.6406,-1.0,[99.64615466666667- 99.86233819259259- 97.83237428148149- 99.7984946962963- 99.34750477037038- 99.11580402962962- 99.80994482962963- 99.85160497777778- 99.87616722962963- 99.80186056296296- 99.40033232592592- 99.11237919999999- 99.86736888888889- 98.24142275555556- 99.820168- 99.65812568888887- 98.80532444444445- 98.56389179259259- 99.9568935111111- 99.80000971851852- 99.86256242962963- 98.54634376296296- 99.93942595555556- 99.62599697777777- 99.79648325925926- 99.92999466666667- 99.89882536296297- 98.82028515555555- 99.87583117037036- 99.81753297777777- 99.83452608828499- 99.93586689852259- 99.69172418131492- 99.93689160286137- 99.89178933462742- 99.99275450231855- 99.61459389266328- 99.9701896635393- 99.76215064344512- 99.89750148279953- 99.97721835795679- 100.0- 99.99805798195479- 99.99320293684173- 99.99951696682123- 99.69806921528452- 99.97249609080126- 99.77585350839355- 99.93284445882311- 99.8715610284338],[]
MIST_ONLY,ROUND_ROBIN,120,18035.7195,2.5579,416.3424,0.059,8400,5653,1312,1282,0,153,0,0,0,0,0,7744,6309,913.2413333333818,0.0,913.2413333333818,26091.199999995948,0.0,0.0,272.5507337055969,31.5734,0,0,32.4504,8.6426,0.0708,0,0,0,0,8.6426,0.072,0,33.649,99.6697,-1.0,[99.76213499259258- 99.92167401481481- 99.95948088888889- 99.6699888- 99.57461066666667- 99.67342666666667- 99.93002127407408- 99.8709024- 99.84877173333334- 98.4430682074074- 99.49412035555555- 99.64897925925925- 99.72849481481481- 99.91356231111112- 99.87460675555555- 99.63335768888889- 98.14976918518518- 97.97953522962965- 99.83926038518518- 99.94070565925927- 99.77406168888889- 99.61391277037038- 99.96638411851852- 99.52872213333332- 99.75916853333332- 98.2949399111111- 99.73008752592592- 99.95680331851851- 99.92361232592592- 98.58318056296297- 98.16992017777778- 99.95476053333334- 99.81546014814815- 99.75553173333333- 99.71643294814815- 99.8368357925926- 99.97584834106186- 99.5225888781049- 99.98599203781588- 99.44589017398182- 99.92509817930191- 99.95214444264711- 99.57580003774399- 99.88770624393399- 99.99221642582407- 99.98401542111507- 99.78881722024516- 99.98043715626012- 99.62720465329451- 99.99154691937166- 99.97100812394407- 99.68820994643949- 99.95594018476581- 99.98767276861138- 99.97850502354505- 99.88323223336569- 99.97631654624539- 99.99951696682123- 99.89594409396456- 99.97582857040152],[]
MIST_AND_CLOUD,ROUND_ROBIN,60,6766.2451,1.7815,286.62,0.0755,4200,3467,0,683,0,50,0,1551,1317,0,0,2649,2150,4029.6493333331596,2168.630666666663,4029.6493333331596,14327.699999999235,0.0,0.0,165.727449643762,22.5778,6.253,0,23.6585,27.3994,0.4419,0.5644,0.5644,0,0,26.835,0.4472,0,33.493,98.753,-1.0,[99.97742506666667- 99.88339620740742- 99.88259668148149- 88.38086542222224- 99.72757540740741- 99.43313268148148- 99.20633499259259- 99.82341677037036- 99.82820971851854- 90.19923122962963- 99.83510020740741- 97.96661920000001- 99.97887905185185- 99.96335768888889- 99.80194921481483- 99.8636242962963- 89.12288521481486- 99.97212515555556- 99.99251298572916- 99.99516966821237- 99.99298613357777- 100.0- 99.91795715158705- 99.98308395341313- 99.97681440741938- 99.97681440741938- 99.99855090046371- 99.93395588446747- 99.99299601890793- 99.98285232215392],[]
MIST_AND_CLOUD,ROUND_ROBIN,80,9356.0126,1.8142,321.3002,0.0623,5600,4700,0,825,0,75,0,1684,1458,0,0,3916,3242,4917.191999999942,2560.3653333333273,4917.191999999942,20756.449999997876,0.0,0.0,186.64380722898144,29.4785,5.4543,0,30.5932,25.7455,0.314,0.475,0.475,0,0,25.2706,0.3159,0,33.6225,99.4978,-1.0,[99.81107543703705- 99.58396811851853- 99.8829741037037- 98.22452094814815- 99.84541605925926- 99.19164752592593- 99.88028977777779- 99.90022447407407- 99.6453554962963- 95.4502973037037- 99.91271816296296- 99.26048936296297- 98.50460100740742- 99.57039217777778- 99.76828675555555- 99.67210121481482- 99.73858405925927- 99.87874317037037- 96.91428391111111- 99.75003549629629- 98.52452426666666- 99.66030885925926- 98.9176926814815- 99.85160645925926- 99.99160555735288- 99.994928151623- 99.9756068244725- 99.97487238937416- 99.5036921708185- 100.0- 99.73173415651173- 99.97300877997053- 99.97584834106186- 99.85254142852007- 99.77204114094683- 99.99393737194005- 99.97488227470434- 99.98768265394155- 99.96319556777742- 99.9063661526295],[]
MIST_AND_CLOUD,ROUND_ROBIN,100,12318.5269,1.8633,359.4902,0.0544,7000,5894,0,1018,0,88,0,1820,1589,0,0,5180,4305,8198.43866666683,4221.29333333332,8198.43866666683,26420.449999996425,0.0,0.0,199.36043593355458,28.9664,6.658,0,29.821,31.9603,0.3133,0.5824,0.5824,0,0,31.3779,0.3138,0,33.6028,99.4062,-1.0,[98.26741007407406- 99.56081961481482- 99.93430607407407- 99.85037955555555- 99.88586133333332- 98.97897955555555- 99.89002002962962- 93.05886838518519- 99.71759063703703- 98.6938709925926- 99.75491265185185- 99.66914755555557- 99.6801224888889- 99.83580077037037- 99.92087336296295- 90.6697231407408- 98.27662891851853- 99.62747371851852- 99.89527703703703- 99.92268681481482- 99.84547899259259- 99.6793072- 99.6403328- 99.69075342222223- 99.8443960888889- 99.48839668148149- 99.8954939851852- 99.78964805925926- 99.52473416296296- 99.93002133333333- 99.69963177145117- 99.78956962867105- 99.96793198892844- 99.92960431719328- 99.98333535533268- 99.99684545634277- 99.95125745893094- 99.9514619055322- 99.86464331931414- 99.99444511844423- 99.92881843344477- 99.9567615658363- 99.57692629138359- 99.79440602645674- 99.89627367985908- 99.95223633128438- 100.0- 99.96054382795931- 99.71890142528487- 99.97584834106186],[]
MIST_AND_CLOUD,ROUND_ROBIN,120,15957.0516,2.0783,346.3303,0.0451,8400,6962,0,1277,0,161,0,1800,1551,0,0,6600,5411,8793.534666667192,4724.666666666658,8793.534666667192,27679.999999995594,0.0,0.0,215.2710256247787,31.7663,6.3134,0,32.561,31.5034,0.2582,0.5559,0.5559,0,0,30.9475,0.2579,0,33.5593,99.1535,-1.0,[99.02007354074074- 99.85127377777779- 99.82288847407408- 99.5585015111111- 99.83726453333333- 99.88736942222224- 97.49076248888889- 99.6507058962963- 99.71473025185185- 98.47457392592592- 99.07465653333333- 90.94423685925928- 99.96796965925927- 98.01697825185184- 99.95074488888889- 99.83871063703704- 84.33358079999994- 99.9389466074074- 99.75613694814814- 99.59685019259258- 99.86843561481481- 99.68226767407407- 99.59786974814816- 99.73545706666667- 99.82350133333334- 99.89300023703703- 94.08489179259261- 99.97728640000001- 98.47108687407406- 99.73975638518517- 99.89739869629628- 97.00060995555556- 99.82404142222222- 99.60785653333332- 99.57928355555555- 99.62539727407407- 99.69876725439447- 99.74892204967827- 99.99033933642474- 99.96165255760452- 99.96291877853267- 99.68664851360582- 99.97584834106186- 99.96918899852618- 99.97584834106186- 99.9753653078831- 99.99491826629281- 99.97898805672382- 99.97320536324096- 99.88856739099178- 99.90751756892772- 99.89677895503073- 99.97608985765125- 99.9389055142169- 99.96504367518602- 99.97192476365073- 99.99516966821237- 99.90304041302706- 99.96505782918149- 99.77404673963838],[]
EDGE_AND_CLOUD,ROUND_ROBIN,60,1351.4307,0.355,675.714,0.1775,4200,3585,0,615,0,0,0,3360,2874,840,711,0,0,7605.989333333397,4112.338666666661,7605.989333333397,17514.949999998506,0.0,0.0,33.98058853377275,0.592,9.8585,12.6392,0,47.0176,0.7583,0.8242,0.8242,0.2126,0.2126,45.9809,0.7663,0,33.012,96.1705,-1.0,[99.86885925925927- 73.57037037037023- 73.57037037037023- 73.57037037037021- 73.57037037037021- 99.86921481481481- 99.87063703703704- 99.86844444444444- 99.86927407407408- 96.20219259259261- 99.86891851851851- 99.86891851851851- 99.86838518518518- 99.86891851851851- 96.20290370370371- 99.86856296296297- 99.86838518518518- 99.86891851851851- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
EDGE_AND_CLOUD,ROUND_ROBIN,80,1896.9922,0.3437,1111.833,0.2014,5600,4842,0,758,0,0,0,4480,3864,1120,978,0,0,14623.012000000075,7979.250666666572,14623.012000000075,24094.299999996714,0.0,0.0,23.868338940309254,0.6061,13.5881,16.7188,0,64.6113,0.7879,1.1439,1.1439,0.2807,0.2807,63.1867,0.7898,0,33.0129,96.1753,-1.0,[99.8679111111111- 73.57037037037021- 99.86785185185185- 99.86785185185185- 99.86785185185185- 99.8679111111111- 99.86785185185185- 99.86785185185185- 73.57037037037023- 99.8679111111111- 99.86785185185185- 99.8679111111111- 73.57037037037023- 96.20171851851853- 73.57037037037023- 99.86785185185185- 96.20207407407408- 99.86785185185185- 96.2014814814815- 73.57037037037023- 96.2014814814815- 99.86785185185185- 96.20171851851853- 99.86785185185185- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
EDGE_AND_CLOUD,ROUND_ROBIN,100,2413.1769,0.3681,1480.9633,0.2259,7000,5862,0,1138,0,0,0,5600,4681,1400,1181,0,0,21748.43199999981,11808.84533333337,21748.43199999981,30637.649999995298,0.0,0.0,18.383901667683084,0.6699,16.4636,25.0682,0,82.197,0.8059,1.376,1.376,0.4364,0.4364,80.3846,0.8038,0,33.0685,96.4719,-1.0,[99.86808888888889- 99.86808888888889- 99.86808888888889- 96.2014814814815- 99.86844444444444- 73.57037037037023- 96.2016- 99.8679111111111- 99.86862222222221- 99.86826666666667- 73.57037037037023- 73.57037037037023- 73.57037037037021- 99.86850370370371- 99.86797037037037- 99.86832592592593- 99.86814814814814- 73.57037037037023- 73.57037037037023- 99.86814814814814- 99.86844444444444- 96.2014814814815- 99.86862222222221- 99.86897777777779- 99.86844444444444- 96.2014814814815- 99.86802962962963- 99.86826666666667- 99.86885925925927- 99.86909629629629- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
EDGE_AND_CLOUD,ROUND_ROBIN,120,2754.2818,0.3435,2009.3319,0.2506,8400,7137,0,1263,0,0,0,6720,5685,1680,1452,0,0,31655.485333333196,17359.34933333329,31655.485333333196,35055.99999999604,0.0,0.0,15.181948914952475,0.6033,19.8045,24.8409,0,94.0411,0.7708,1.6572,1.6572,0.4163,0.4163,91.9676,0.7664,0,33.0712,96.4863,-1.0,[99.86874074074075- 96.20302222222223- 99.86838518518518- 99.86915555555555- 99.86868148148147- 73.57037037037023- 96.20207407407408- 99.86862222222221- 73.57037037037023- 99.86885925925927- 96.20254814814817- 99.86856296296297- 96.20183703703704- 99.86850370370371- 96.20219259259261- 73.57037037037023- 99.86850370370371- 99.86826666666667- 73.57037037037023- 99.86838518518518- 99.8688- 99.86808888888889- 73.57037037037023- 96.20266666666666- 99.86838518518518- 99.86820740740741- 99.86802962962963- 99.86797037037037- 73.57037037037023- 73.57037037037023- 99.86850370370371- 99.86802962962963- 99.86785185185185- 99.86838518518518- 99.8679111111111- 99.86820740740741- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
