Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
CLOUD_ONLY,ROUND_ROBIN,40,836.0325,0.3093,577.782,0.2138,2800,2326,0,474,0,0,0,2800,2326,0,0,0,0,3764.359999999951,2186.1879999999833,3764.359999999951,10975.149999999787,0.0,0.0,25.32966200638145,0.3062,7.9615,0,0,29.4327,0.7008,0.6489,0.6489,0,0,28.7838,0.7196,0,32.6602,94.2946,-1.0,[96.2014814814815- 73.57037037037023- 99.86785185185185- 99.86785185185185- 99.86785185185185- 73.57037037037021- 96.2014814814815- 73.57037037037023- 73.57037037037021- 99.8679111111111- 99.8679111111111- 99.8679111111111- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
CLOUD_ONLY,ROUND_ROBIN,60,1289.2493,0.3392,950.2512,0.25,4200,3545,0,655,0,0,0,4200,3545,0,0,0,0,9068.029333333408,5227.918666666708,9068.029333333408,17515.74999999852,0.0,0.0,17.022820513728107,0.326,12.3864,0,0,47.0178,0.7584,1.0367,1.0367,0,0,45.9811,0.7664,0,33.1305,96.8027,-1.0,[99.86844444444444- 99.8688- 96.20290370370371- 99.86909629629629- 99.86826666666667- 99.86808888888889- 99.86850370370371- 73.57037037037021- 96.20171851851853- 99.86868148148147- 73.57037037037021- 96.20337777777779- 99.8688- 99.86885925925927- 73.57037037037023- 99.86980740740741- 99.86874074074075- 96.20527407407408- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
CLOUD_ONLY,ROUND_ROBIN,80,1803.5314,0.3288,1573.2267,0.2868,5600,4786,0,814,0,0,0,5600,4786,0,0,0,0,17529.536000000106,10040.277333333328,17529.536000000106,24091.64999999676,0.0,0.0,12.072146792654395,0.3386,16.9318,0,0,64.6107,0.7879,1.4245,1.4245,0,0,63.1861,0.7898,0,32.9068,95.6095,-1.0,[73.57037037037023- 73.57037037037021- 99.8679111111111- 99.8679111111111- 96.2016- 99.8679111111111- 96.20195555555557- 99.86785185185185- 99.86785185185185- 99.8679111111111- 96.2016- 73.57037037037023- 99.86785185185185- 99.86785185185185- 99.86785185185185- 73.57037037037023- 96.2016- 99.86785185185185- 99.86785185185185- 99.86785185185185- 73.57037037037023- 99.86785185185185- 99.86797037037037- 73.57037037037023- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
CLOUD_ONLY,ROUND_ROBIN,100,2281.6908,0.3482,2167.119,0.3308,7000,5890,0,1110,0,0,0,7000,5890,0,0,0,0,27229.112000000045,15515.242666666745,27229.112000000045,30637.599999995287,0.0,0.0,9.798614567277403,0.3464,21.4773,0,0,82.1969,0.8059,1.8123,1.8123,0,0,80.3846,0.8038,0,32.9561,95.8726,-1.0,[99.86785185185185- 99.86814814814814- 99.86797037037037- 99.86802962962963- 99.86844444444444- 99.86820740740741- 99.86785185185185- 99.86808888888889- 73.57037037037023- 96.2014814814815- 99.86797037037037- 99.86856296296297- 99.86814814814814- 99.86862222222221- 99.86862222222221- 99.86802962962963- 99.86832592592593- 96.2014814814815- 96.2014814814815- 96.2014814814815- 73.57037037037023- 73.57037037037023- 73.57037037037023- 96.2014814814815- 99.8688- 99.86868148148147- 73.57037037037023- 99.86850370370371- 73.57037037037023- 73.57037037037021- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
EDGE_ONLY,ROUND_ROBIN,40,1048.9546,0.3859,0.5301,0.0002,2800,2305,0,495,0,0,0,0,0,2800,2305,0,0,3727.286666666605,0.0,3727.286666666605,10975.89999999979,0.0,0.0,25.342344364744637,1.5311,0,39.8077,0,29.433,0.7008,0,0,0.649,0.649,28.784,0.7196,0,33.0846,96.5577,-1.0,[99.86785185185185- 99.8679111111111- 73.57037037037023- 96.2014814814815- 96.2014814814815- 96.2014814814815- 99.8679111111111- 99.86785185185185- 96.2014814814815- 99.86814814814814- 99.86785185185185- 73.57037037037021- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
EDGE_ONLY,ROUND_ROBIN,60,1608.0232,0.4254,29.3142,0.0078,4200,3508,0,692,0,0,0,0,0,4200,3508,0,0,8819.860000000046,0.0,8819.860000000046,17513.599999998514,0.0,0.0,17.102380572337417,1.6298,0,61.9318,0,47.0174,0.7583,0,0,1.0369,1.0369,45.9806,0.7663,0,33.1076,96.6806,-1.0,[99.86962962962963- 99.86832592592593- 73.57037037037023- 96.20551111111112- 99.87016296296295- 99.86909629629629- 73.57037037037023- 99.86939259259259- 99.86933333333333- 99.86808888888889- 96.20373333333333- 73.57037037037023- 99.86844444444444- 96.2021925925926- 96.20302222222223- 99.86891851851851- 99.86808888888889- 96.2040888888889- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
EDGE_ONLY,ROUND_ROBIN,80,2263.9939,0.4096,95.0796,0.0172,5600,4762,0,838,0,0,0,0,0,5600,4762,0,0,17048.822666666736,0.0,17048.822666666736,24094.49999999678,0.0,0.0,12.008376207499468,1.6932,0,84.6591,0,64.6115,0.7879,0,0,1.4247,1.4247,63.1868,0.7898,0,33.03,96.2669,-1.0,[99.86785185185185- 99.86785185185185- 99.86785185185185- 96.2016- 99.86785185185185- 73.57037037037023- 99.86785185185185- 99.86785185185185- 73.57037037037023- 99.86785185185185- 73.57037037037023- 99.86785185185185- 99.86785185185185- 73.57037037037023- 99.86785185185185- 99.86785185185185- 73.57037037037023- 96.20171851851853- 96.2014814814815- 99.86785185185185- 99.86785185185185- 99.86785185185185- 96.2016- 99.86785185185185- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
EDGE_ONLY,ROUND_ROBIN,100,2852.6786,0.4351,305.6343,0.0466,7000,5977,0,1023,0,0,0,0,0,7000,5977,0,0,26850.619999999886,0.0,26850.619999999886,30637.5999999953,0.0,0.0,9.77281955561024,1.6129,0,100,0,82.1971,0.8059,0,0,1.8126,1.8126,80.3846,0.8038,0,33.0272,96.2519,-1.0,[99.86785185185185- 96.2016- 99.86814814814814- 96.2014814814815- 99.86797037037037- 96.2014814814815- 99.86797037037037- 99.86797037037037- 99.8679111111111- 99.86868148148147- 99.86802962962963- 99.86826666666667- 96.2014814814815- 73.57037037037023- 99.86797037037037- 73.57037037037023- 99.86832592592593- 96.2014814814815- 99.86850370370371- 73.57037037037023- 99.86868148148147- 96.2014814814815- 99.86844444444444- 99.86826666666667- 96.2016- 73.57037037037023- 73.57037037037023- 99.86868148148147- 99.86820740740741- 73.57037037037023- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
MIST_ONLY,ROUND_ROBIN,40,4224.7022,1.9853,0,0,2800,1347,1288,147,0,18,0,0,0,0,0,2156,1991,157.41200000000126,0.0,157.41200000000126,5729.250000000147,0.0,0.0,294.5694336695112,21.2385,0,0,23.0084,2.0172,0.048,0,0,0,0,2.0172,0.0504,0,33.6759,99.8224,-1.0,[99.94319952592593- 99.9754657185185- 99.97378820740741- 99.57622032592593- 99.93726008888889- 99.8284784- 99.88470245925927- 99.83962530370371- 99.97081054814815- 99.3866618074074- 99.29136296296296- 99.94830577777779- 99.98719962076278- 99.87874743880081- 99.61687380926705- 99.9987324310723- 99.46564263632769- 99.99489849563248- 99.99202995255041- 99.9573200869909],[]
MIST_ONLY,ROUND_ROBIN,60,7503.319,2.2772,6.8076,0.0021,4200,2241,1442,470,0,47,0,0,0,0,0,3479,2962,310.72666666665094,0.0,310.72666666665094,10798.549999999961,0.0,0.0,291.953781512605,29.9312,0,0,31.5941,3.6513,0.0589,0,0,0,0,3.6513,0.0609,0,33.6571,99.7133,-1.0,[99.89582465185185- 99.45475875555555- 99.97030684444445- 99.86493072592593- 99.70443371851852- 98.64044971851851- 99.622- 99.84766986666666- 98.88876705185186- 99.88977505185186- 99.94602465185186- 99.8797882074074- 98.6395757037037- 98.88930228148149- 99.9658405925926- 99.97020444444445- 99.95180314074074- 99.91636195555556- 99.48146567993099- 99.92311796793558- 99.83957726733529- 99.99299601890793- 99.9616871562601- 99.97456661813868- 99.99756506344585- 99.50773931485675- 99.95773459685826- 99.96425554477156- 99.90111681764262- 99.96080870987454],[]
